"Product name ","Short Description","Regular Price","Colour ","Function","Collection","Categories","MATERIAL CODE","Range","Image URL"
"Basin Mixer Single Lever","","7500","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Basin Area>Single Lever","AF720201CHBR","C72","D2 - AF720201CHBR - Basin Mixer Single Lever.jpg"
"Basin Mixer Single Lever Extension Body","","8600","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Basin Area>Single Lever","AF720206CHBR","C72","D2 - AF720206CHBR - Basin Mixer Single Lever Extension body.jpg"
"Exposed Part of Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","6000","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Basin Area>Single Lever","AF720216CHBR","C72","D2 - AF720216CHBR - Exposed part of Wall mounted Single lever basin mixer with 2 mm Sheet Flange (1) (1).jpg"
"Pillar Cock Extended Body","","4300","CHROME","QUARTER TURN","CELESTIA","FAUCETS>Basin Area>Wall Mixer Quarter Turn","AF720106CHBR","C72","D2 - AF720106CHBR - Pillar cock extended body.jpg"
"Exposed Part of Single Lever 3 Inlet Concealed Diverter with 2mm Thick Solid Flange","","2800","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Shower Area>Single Lever Diverter","AF720316CHBR","C72","D2 - AF720116CHBR - Exposed part of Wall mounted basin cock with spout and operating lever with 2 mm Sheet Flange (1).jpg"
"Exposed Part of Single Lever Concealed Diverter with 2 mm Thick Solid Flange","","2600","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Shower Area>Single Lever Diverter","AF720306CHBR","C72","D2 - AF720306CHBR - Exposed part of Single lever concealed diverter with 2 mm Sheet Flange (1).jpg"
