"Product name ","Short Description","Regular Price","SKU","Attr - Distance","Attr - Distance Value","Attr - Trap Name","Attr - Trap Value","Attr - Seat Cover Name","Attr - Seat Cover Value","Attr - Colour","Attr - Colour Value","Attr - Feature Name","Attr - Feature Value","Feature Name 1","Feature Icon 1","Collection","Collection Icon","Categories","Image URL"
"Floor Mounting Toiletss - 540 x 360 x 390 mm","9 Litres Single Flush","4100","ASFM1003TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png"
"Floor Mounting Toiletss - 540 x 360 x 390 mm","9 Litres Dual Flush","4300","ASFM1005TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Floor Mounting Toiletss - 542 x 360 x 390 mm","7 Litres Single Flush","4200","ASFM1002TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png"
"Floor Mounting Toiletss - 543 x 360 x 390 mm","7 Litres Dual Flush","4400","ASFM1004TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png"
"Floor Mounting Toiletss - 470 x 360 x 390 mm","9 Litres Single Flush","4100","ASFM1008TWSN","Wall Distance","","Trap Type","P-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png"
"Floor Mounting Toiletss - 471 x 360 x 390 mm","9 Litres Dual Flush","4300","ASFM1010TWSN","Wall Distance","","Trap Type","P-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png"
"Floor Mounting Toiletss - 472 x 360 x 390 mm","7 Litres Single Flush","4200","ASFM1007TWSN","Wall Distance","","Trap Type","P-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Floor Mounting Toiletss - 473 x 360 x 390 mm","7 Litres Dual Flush","4400","ASFM1009TWSN","Wall Distance","","Trap Type","P-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png"
" Floor Mounting Toiletss - 540 x 360 x 390 mm","","2800","ASFM1001TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets>Floor Mounting Toiletss","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png"
" Floor Mounting Toiletss - 470 x 360 x 390 mm ","","2800","ASFM1006TWSN","Wall Distance","P-180 MM ","Trap Type","P-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets>Floor Mounting Toiletss","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png"
"Floor Mounting Toiletss - 560 x 460 x 420 mm","","7200","ASFM3011TWPN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","","","","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilets>Floor Mounting Toiletss","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
