"Product name ","Short Description","Regular Price","SKU","Image URL"
"P30 Wall Mixer 3-in-1System with Provision for Hand Shower and Over Head Shower","","2100","AF300136CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300136CHBR---Wall-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300136CHBR---Wall-Mi.png"
"P30 Wall Mixer 2-in-1 System with Provision for Over Head Shower","","550","AF300141CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300141CHBR---Wall-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300141CHBR---Wall-Mi.png"
"P30 Bath Spout","","550","AF300331CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"P30 Bath Spout with Tipton","","1100","AF300336CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300336CHBR---Bathtub.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300336CHBR---Bathtub.png"
"P30 Sink Cock Wall Mounted with 150 mm Swinging Spout","","2200","AF300176CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300176CHBR---Sink-Co.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300176CHBR---Sink-Co.png"
"P30 Sink Cock Table Mounted with 150 mm Swinging Spout","","3200","AF300186CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300186CHBR---Sink-Co.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300186CHBR---Sink-Co.png"
"P30 Sink Mixer Wall Mounted with 150 mm Swinging Spout","","4300","AF300196CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300276CHBR---Sink-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300276CHBR---Sink-Mi.png"
"P30 Bib Cock Long Body","","2700","AF300156CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300156CHBR---Bib-Coc.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300156CHBR---Bib-Coc.png"
"P30 Bib Cock 2 Way","","1450","AF300161CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300161CHBR---Bib-Coc.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300161CHBR---Bib-Coc.png"
"P30 Concealed Flush Cock","","4150","AF300126CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300126CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300126CHBR---Exposed.png"
"P30 Concealed Stop Cock-15 mm","","4950","AF300126CHBR","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png"
