"Product name ","Short Description","Regular Price","Colour ","Function","Collection","Categories","MATERIAL CODE","Range","Image URL"
"Basin Mixer Single Lever","","7500","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Basin Area>Single Lever","AF720201CHBR","C72","https://astralgroup-my.sharepoint.com/personal/kairavi_rathod_astralpipes_com/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fkairavi%5Frathod%5Fastralpipes%5Fcom%2FDocuments%2Ffaucet%20KB%2FD2%20%2D%20AF720201CHBR%20%2D%20Basin%20Mixer%20Single%20Lever%2Ejpg&parent=%2Fpersonal%2Fkairavi%5Frathod%5Fastralpipes%5Fcom%2FDocuments%2Ffaucet%20KB&ga=1"
"Basin Mixer Single Lever Extension Body","","8600","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Basin Area>Single Lever","AF720206CHBR","C72","https://astralgroup-my.sharepoint.com/personal/kairavi_rathod_astralpipes_com/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fkairavi%5Frathod%5Fastralpipes%5Fcom%2FDocuments%2Ffaucet%20KB%2FD2%20%2D%20AF720206CHBR%20%2D%20Basin%20Mixer%20Single%20Lever%20Extension%20body%2Ejpg&parent=%2Fpersonal%2Fkairavi%5Frathod%5Fastralpipes%5Fcom%2FDocuments%2Ffaucet%20KB&ga=1"
"Exposed Part of Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","6000","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Basin Area>Single Lever","AF720216CHBR","C72","https://astralgroup-my.sharepoint.com/:i:/g/personal/kairavi_rathod_astralpipes_com/EWYTK2wfSwJFtY8lWwC5u6gB-tdoRjg-uSuzauQY9W2kMA?e=sbwNpB"
"Pillar Cock Extended Body","","4300","CHROME","QUARTER TURN","CELESTIA","FAUCETS>Basin Area>Wall Mixer Quarter Turn","AF720106CHBR","C72","https://astralgroup-my.sharepoint.com/:i:/g/personal/kairavi_rathod_astralpipes_com/EXogooF8-GlEiTaIHEWWRZwBk-XOBiIOHDYO3NrwHk5-oA?e=1LV7oG"
"Exposed Part of Single Lever 3 Inlet Concealed Diverter with 2mm Thick Solid Flange","","2800","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Shower Area>Single Lever Diverter","AF720316CHBR","C72","https://astralgroup-my.sharepoint.com/:i:/g/personal/kairavi_rathod_astralpipes_com/EcukUfSSUvFJmJznqsf7X-oBXJlzrfwtwKMr8PLWpuK0TQ?e=xv3MPd"
"Exposed Part of Single Lever Concealed Diverter with 2 mm Thick Solid Flange","","2600","CHROME","SINGLE LEVER","CELESTIA","FAUCETS>Shower Area>Single Lever Diverter","AF720306CHBR","C72","https://astralgroup-my.sharepoint.com/:i:/g/personal/kairavi_rathod_astralpipes_com/EarJQiIWfrVJu9B36YDcgXMBHSGE31ugk9uDYvJT-m293A?e=CSmn1v"
