"Title","bullets_icon","bullets-icon","bullets-icon_1","bullets-icon_2","bullets-text","bullets-text_1","bullets-text_2","features_0_feature_icon","features_0_feature_name","features_1_feature_icon","features_1_feature_name","inline_featured_image","Product categories","Collections","Ranges","Functions","Image URL","Collection Icon","Technical Drawing","Features","Attribute Name (Colour)","Attribute Value (Colour)","Attribute Name (Distance)","Attribute Value (Distance)","Attribute Name (Features)","Attribute Value (Features)","Attribute Name (Style)","Attribute Value (Style)","Virtual","Regular Price","SKU","Price"
"Demo-Wall Hung Toilet - 510 x 355 x 350 mm","","","","","","","","567","Whirlpool Flushing","565","Jet Siphonic Flushing","0","SANITARYWARE>Toilet>Wall Hung Toilet","Gloria","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","","[{""field_62da6839b4b4d"":""Whirlpool Flushing"",""field_62da6839b4b4e"":""567""},{""field_62da6839b4b4d"":""Jet Siphonic Flushing"",""field_62da6839b4b4e"":""565""}]","colour","True White","distance","S-220 MM","features","","style","Duroplast Soft Close Seat Cover","yes","6500","ASWH1001TWSP","6500"
"Demo-One Piece Toilet - 670 x 375 x 750mm","a:1:{i:0;a:3:{i:0;a:2:{s:12:""bullets-icon"";s:3:""566"";s:12:""bullets-text"";s:12:""True Rimless"";}i:1;a:2:{s:12:""bullets-icon"";s:3:""565"";s:12:""bullets-text"";s:14:""Slim Seat Cove"";}i:2;a:2:{s:12:""bullets-icon"";s:3:""567"";s:12:""bullets-text"";s:22:""Invisible Installation"";}}}","566","565","567","True Rimless","Slim Seat Cove","Invisible Installation","","","","","0","SANITARYWARE>Toilet>One Piece Toilet","Imperia","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-670-x-375-x-750mm-1.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-670-x-375-x-750mm-4.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-670-x-375-x-750mm-5.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-670-x-375-x-750mm-2.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-670-x-375-x-750mm-3.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Asset-7.svg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Asset-8.svg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Asset-9.svg","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/Get_Started_With_Smallpdf.pdf","","colour","True White","distance","S-230 MM","features","","style","","yes","18500","ASOP5005TWSD","18500"
"Demo - One Piece Toilet - 671 x 375 x 750mm","a:1:{i:0;a:3:{i:0;a:2:{s:12:""bullets-icon"";s:3:""566"";s:12:""bullets-text"";s:12:""True Rimless"";}i:1;a:2:{s:12:""bullets-icon"";s:3:""565"";s:12:""bullets-text"";s:14:""Slim Seat Cove"";}i:2;a:2:{s:12:""bullets-icon"";s:3:""567"";s:12:""bullets-text"";s:22:""Invisible Installation"";}}}","566","565","567","True Rimless","Slim Seat Cove","Invisible Installation","","","","","0","SANITARYWARE>Toilet>One Piece Toilet","Imperia","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-671x375x750mm-1.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-671x375x750mm-2.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-671x375x750mm-5.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-671x375x750mm-4.jpg||https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/OnePieceToilet-671x375x750mm-3.jpg","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/Get_Started_With_Smallpdf.pdf","","colour","True White","distance","S-240 MM","features","","style","","yes","18000","ASOP5006TWPS","18000"
